Game ID,date,season,neutral,is_home,playoff,team1,team2,score1,score2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,is_win,gm_no
192012050BFF,1920-12-05,1920,0,1,NA,BFF,AKR,0,0,1572.764,1646.228,0.487821734,0.512178266,1573.136,1645.856,0.5,11
192012050BFF,1920-12-05,1920,0,0,NA,AKR,BFF,0,0,1646.228,1572.764,0.512178266,0.487821734,1645.856,1573.136,0.5,10
192012050COL,1920-12-05,1920,0,1,NA,COL,CWP,24,0,1396.597,1300,0.717121359,0.282878641,1413.562,1283.035,1,10
192012050COL,1920-12-05,1920,0,0,NA,CWP,COL,0,24,1300,1396.597,0.282878641,0.717121359,1283.035,1413.562,0,1
192012050DHR,1920-12-05,1920,0,1,NA,DHR,DTM,7,7,1431.594,1300,0.756149917,0.243850083,1423.781,1307.812,0.5,8
192012050DHR,1920-12-05,1920,0,0,NA,DTM,DHR,7,7,1300,1431.594,0.243850083,0.756149917,1307.812,1423.781,0.5,1
192012050ROS,1920-12-05,1920,0,1,NA,ROS,RCH,0,0,1284.673,1446.51,0.364140329,0.635859671,1288.817,1442.366,0.5,3
192012050ROS,1920-12-05,1920,0,0,NA,RCH,ROS,0,0,1446.51,1284.673,0.635859671,0.364140329,1442.366,1288.817,0.5,11
192012050WGC,1920-12-05,1920,0,1,NA,WGC,CBD,0,0,1300,1544.056,0.26294276,0.73705724,1307.23,1536.826,0.5,1
192012050WGC,1920-12-05,1920,0,0,NA,CBD,WGC,0,0,1544.056,1300,0.73705724,0.26294276,1536.826,1307.23,0.5,11
192012110UAP,1920-12-11,1920,0,1,NA,UAP,CBD,13,7,1300,1536.826,0.271087912,0.728912088,1330.771,1506.055,1,1
192012110UAP,1920-12-11,1920,0,0,NA,CBD,UAP,7,13,1536.826,1300,0.728912088,0.271087912,1506.055,1330.771,0,12
192012120CHI,1920-12-12,1920,0,1,NA,CHI,AKR,0,0,1566.206,1645.856,0.478929441,0.521070559,1566.849,1645.214,0.5,13
